Date,Open,High,Low,Close,Adj Close,Volume
2023-09-03,2134350.500000,2148362.000000,2130395.000000,2139966.500000,2139966.500000,835542938278
2023-09-04,2140022.500000,2158029.500000,2135684.250000,2148306.500000,2148306.500000,741415923452
2023-09-05,2148191.000000,2156436.250000,2125099.500000,2135602.000000,2135602.000000,883667237210
2023-09-06,2135812.250000,2147589.500000,2118445.750000,2142003.250000,2142003.250000,921838062932
2023-09-07,2142331.250000,2159675.250000,2114383.000000,2144154.250000,2144154.250000,1061760416933
2023-09-08,2143744.250000,2198369.750000,2130807.250000,2184279.500000,2184279.500000,923009987769
2023-09-09,2184696.750000,2196276.000000,2130555.750000,2151335.000000,2151335.000000,898327329759
2023-09-10,2151316.000000,2152690.500000,2143432.500000,2150506.500000,2150506.500000,455195715674
2023-09-11,2150467.750000,2158753.250000,2131220.000000,2144889.750000,2144889.750000,655912125934
2023-09-12,2144847.250000,2144930.250000,2066610.625000,2086981.750000,2086981.750000,1210919397142
2023-09-13,2086816.125000,2191868.500000,2083843.500000,2140331.000000,2140331.000000,1545783428658
2023-09-14,2140680.000000,2187341.750000,2135566.500000,2175439.000000,2175439.000000,1084228883090
2023-09-15,2175435.250000,2224372.500000,2171287.500000,2203550.750000,2203550.750000,1146737121622
2023-09-16,2203064.500000,2230554.000000,2181580.250000,2211290.250000,2211290.250000,954012536937
2023-09-17,2211082.750000,2223429.750000,2200087.500000,2207931.750000,2207931.750000,615138788947
2023-09-18,2207902.500000,2212063.500000,2197692.750000,2204620.750000,2204620.750000,562842399641
2023-09-19,2204521.750000,2284145.000000,2194766.250000,2227070.750000,2227070.750000,1299846747482
2023-09-20,2227617.500000,2289658.750000,2219017.000000,2264033.000000,2264033.000000,1148834359216
2023-09-21,2263959.000000,2278737.750000,2230255.750000,2254324.000000,2254324.000000,1103491495376
2023-09-22,2254144.000000,2257673.500000,2194513.250000,2201966.250000,2201966.250000,1108245819771
2023-09-23,2201669.750000,2214461.250000,2192862.750000,2208745.000000,2208745.000000,879086975293
2023-09-24,2208660.750000,2213283.500000,2203838.000000,2208730.000000,2208730.000000,615325781953
2023-09-25,2208728.750000,2220087.000000,2179038.500000,2178661.500000,2178661.500000,679803622273
2023-09-26,2178408.250000,2195199.500000,2162147.000000,2183551.000000,2183551.000000,996174684267
2023-09-27,2183242.000000,2195831.500000,2173106.000000,2183893.000000,2183893.000000,831790498991
2023-09-28,2183247.250000,2231477.500000,2174676.500000,2193498.750000,2193498.750000,975392918444
2023-09-29,2193756.250000,2267695.500000,2190855.500000,2248206.000000,2248206.000000,1171379994356
2023-09-30,2248480.250000,2260856.750000,2220108.500000,2238451.000000,2238451.000000,864750023428
2023-10-01,2238448.250000,2253429.250000,2236558.500000,2243125.250000,2243125.250000,443433892216
2023-10-02,2243082.000000,2330922.750000,2242890.500000,2323632.250000,2323632.250000,789158325891
2023-10-03,2323055.000000,2371398.750000,2279715.750000,2294995.250000,2294995.250000,1649968707282
2023-10-04,2293116.750000,2301668.000000,2265310.250000,2282929.750000,2282929.750000,949444311527
2023-10-05,2282854.500000,2316578.750000,2267970.250000,2314439.750000,2314439.750000,927740536937
